Sample	0	1	2	3	4	5	6	7	8	9	10	11
ERR4588264_1.pr	(28.0, 36.0)	(29.0, 262.0)	(30.0, 631.0)	(31.0, 1467.0)	(32.0, 3239.0)	(33.0, 6604.0)	(34.0, 12910.0)	(35.0, 21379.0)	(36.0, 27351.0)	(37.0, 10327.0)		
ERR4588264_2.pr	(27.0, 313.0)	(28.0, 7713.0)	(29.0, 18315.0)	(30.0, 20068.0)	(31.0, 17182.0)	(32.0, 11807.0)	(33.0, 6282.0)	(34.0, 2112.0)	(35.0, 375.0)	(36.0, 37.0)	(37.0, 2.0)	
ERR4588265_1.pr	(28.0, 5.0)	(29.0, 77.0)	(30.0, 208.0)	(31.0, 504.0)	(32.0, 978.0)	(33.0, 1846.0)	(34.0, 3650.0)	(35.0, 6908.0)	(36.0, 14200.0)	(37.0, 22890.0)		
ERR4588265_2.pr	(27.0, 37.0)	(28.0, 1580.0)	(29.0, 4708.0)	(30.0, 6256.0)	(31.0, 7858.0)	(32.0, 9084.0)	(33.0, 9240.0)	(34.0, 7485.0)	(35.0, 4127.0)	(36.0, 849.0)	(37.0, 42.0)	
ERR4588266_1.pr	(28.0, 3.0)	(29.0, 80.0)	(30.0, 240.0)	(31.0, 519.0)	(32.0, 1073.0)	(33.0, 1988.0)	(34.0, 3827.0)	(35.0, 6952.0)	(36.0, 14478.0)	(37.0, 26765.0)		
ERR4588266_2.pr	(27.0, 33.0)	(28.0, 1414.0)	(29.0, 4738.0)	(30.0, 6285.0)	(31.0, 7861.0)	(32.0, 9529.0)	(33.0, 10435.0)	(34.0, 9386.0)	(35.0, 5261.0)	(36.0, 941.0)	(37.0, 42.0)	
ERR4588267_1.pr	(28.0, 6.0)	(29.0, 71.0)	(30.0, 208.0)	(31.0, 411.0)	(32.0, 788.0)	(33.0, 1650.0)	(34.0, 3172.0)	(35.0, 6065.0)	(36.0, 12793.0)	(37.0, 19934.0)		
ERR4588267_2.pr	(27.0, 32.0)	(28.0, 1429.0)	(29.0, 4465.0)	(30.0, 5865.0)	(31.0, 6969.0)	(32.0, 8241.0)	(33.0, 8107.0)	(34.0, 6359.0)	(35.0, 3113.0)	(36.0, 495.0)	(37.0, 23.0)	
ERR4588268_1.pr	(27.0, 2.0)	(28.0, 66.0)	(29.0, 718.0)	(30.0, 1791.0)	(31.0, 3225.0)	(32.0, 6286.0)	(33.0, 12379.0)	(34.0, 23510.0)	(35.0, 46787.0)	(36.0, 97862.0)	(37.0, 150357.0)	
ERR4588268_2.pr	(27.0, 316.0)	(28.0, 12759.0)	(29.0, 36830.0)	(30.0, 47103.0)	(31.0, 55479.0)	(32.0, 61965.0)	(33.0, 59183.0)	(34.0, 43780.0)	(35.0, 21100.0)	(36.0, 4325.0)	(37.0, 143.0)	
ERR4588269_1.pr	(28.0, 15.0)	(29.0, 177.0)	(30.0, 429.0)	(31.0, 785.0)	(32.0, 1657.0)	(33.0, 3356.0)	(34.0, 7168.0)	(35.0, 14651.0)	(36.0, 32512.0)	(37.0, 61475.0)		
ERR4588269_2.pr	(27.0, 77.0)	(28.0, 3932.0)	(29.0, 11687.0)	(30.0, 14822.0)	(31.0, 17486.0)	(32.0, 19918.0)	(33.0, 20753.0)	(34.0, 18399.0)	(35.0, 11867.0)	(36.0, 3181.0)	(37.0, 103.0)	
ERR4588270_1.pr	(27.0, 2.0)	(28.0, 15.0)	(29.0, 170.0)	(30.0, 455.0)	(31.0, 827.0)	(32.0, 1665.0)	(33.0, 3454.0)	(34.0, 6909.0)	(35.0, 14005.0)	(36.0, 30715.0)	(37.0, 52254.0)	
ERR4588270_2.pr	(27.0, 81.0)	(28.0, 3580.0)	(29.0, 11068.0)	(30.0, 13815.0)	(31.0, 16805.0)	(32.0, 19126.0)	(33.0, 19551.0)	(34.0, 15918.0)	(35.0, 8474.0)	(36.0, 1983.0)	(37.0, 70.0)	
ERR4588271_1.pr	(27.0, 1.0)	(28.0, 20.0)	(29.0, 308.0)	(30.0, 733.0)	(31.0, 1325.0)	(32.0, 2595.0)	(33.0, 4901.0)	(34.0, 8967.0)	(35.0, 17196.0)	(36.0, 36201.0)	(37.0, 62790.0)	
ERR4588271_2.pr	(27.0, 85.0)	(28.0, 3772.0)	(29.0, 11739.0)	(30.0, 15469.0)	(31.0, 18598.0)	(32.0, 22198.0)	(33.0, 24038.0)	(34.0, 21429.0)	(35.0, 13632.0)	(36.0, 3967.0)	(37.0, 110.0)	
ERR4588272_1.pr	(27.0, 1.0)	(28.0, 29.0)	(29.0, 276.0)	(30.0, 668.0)	(31.0, 1275.0)	(32.0, 2480.0)	(33.0, 4785.0)	(34.0, 9647.0)	(35.0, 19106.0)	(36.0, 41588.0)	(37.0, 80618.0)	
ERR4588272_2.pr	(26.0, 1.0)	(27.0, 122.0)	(28.0, 4566.0)	(29.0, 14176.0)	(30.0, 18408.0)	(31.0, 22545.0)	(32.0, 26690.0)	(33.0, 28663.0)	(34.0, 25259.0)	(35.0, 15773.0)	(36.0, 4134.0)	(37.0, 136.0)
ERR4588273_1.pr	(28.0, 12.0)	(29.0, 124.0)	(30.0, 328.0)	(31.0, 701.0)	(32.0, 1651.0)	(33.0, 3580.0)	(34.0, 6957.0)	(35.0, 12600.0)	(36.0, 16878.0)	(37.0, 7687.0)		
ERR4588273_2.pr	(27.0, 206.0)	(28.0, 4458.0)	(29.0, 10494.0)	(30.0, 11349.0)	(31.0, 10165.0)	(32.0, 7373.0)	(33.0, 4330.0)	(34.0, 1729.0)	(35.0, 377.0)	(36.0, 34.0)	(37.0, 3.0)	
ERR4588274_1.pr	(27.0, 2.0)	(28.0, 32.0)	(29.0, 242.0)	(30.0, 533.0)	(31.0, 1229.0)	(32.0, 2550.0)	(33.0, 5600.0)	(34.0, 10682.0)	(35.0, 18013.0)	(36.0, 24811.0)	(37.0, 11264.0)	
ERR4588274_2.pr	(27.0, 219.0)	(28.0, 5597.0)	(29.0, 14255.0)	(30.0, 16185.0)	(31.0, 15458.0)	(32.0, 12379.0)	(33.0, 7314.0)	(34.0, 2917.0)	(35.0, 586.0)	(36.0, 47.0)	(37.0, 1.0)	
ERR4588275_1.pr	(28.0, 41.0)	(29.0, 301.0)	(30.0, 707.0)	(31.0, 1392.0)	(32.0, 2905.0)	(33.0, 5841.0)	(34.0, 11291.0)	(35.0, 18590.0)	(36.0, 23775.0)	(37.0, 9054.0)		
ERR4588275_2.pr	(27.0, 316.0)	(28.0, 6812.0)	(29.0, 15596.0)	(30.0, 17086.0)	(31.0, 15141.0)	(32.0, 10622.0)	(33.0, 5682.0)	(34.0, 2160.0)	(35.0, 444.0)	(36.0, 36.0)	(37.0, 2.0)	
ERR4588276_1.pr	(28.0, 20.0)	(29.0, 175.0)	(30.0, 431.0)	(31.0, 992.0)	(32.0, 2309.0)	(33.0, 4832.0)	(34.0, 9519.0)	(35.0, 16061.0)	(36.0, 18908.0)	(37.0, 6142.0)		
ERR4588276_2.pr	(27.0, 350.0)	(28.0, 6495.0)	(29.0, 14358.0)	(30.0, 14413.0)	(31.0, 11500.0)	(32.0, 7187.0)	(33.0, 3479.0)	(34.0, 1304.0)	(35.0, 268.0)	(36.0, 35.0)		
ERR4588277_1.pr	(28.0, 13.0)	(29.0, 138.0)	(30.0, 350.0)	(31.0, 726.0)	(32.0, 1428.0)	(33.0, 2431.0)	(34.0, 4374.0)	(35.0, 7825.0)	(36.0, 15054.0)	(37.0, 18058.0)		
ERR4588277_2.pr	(27.0, 52.0)	(28.0, 1872.0)	(29.0, 5014.0)	(30.0, 6608.0)	(31.0, 8109.0)	(32.0, 9221.0)	(33.0, 9386.0)	(34.0, 6799.0)	(35.0, 2850.0)	(36.0, 456.0)	(37.0, 30.0)	
ERR4588278_1.pr	(27.0, 1.0)	(28.0, 24.0)	(29.0, 275.0)	(30.0, 724.0)	(31.0, 1342.0)	(32.0, 2426.0)	(33.0, 4132.0)	(34.0, 7088.0)	(35.0, 12099.0)	(36.0, 23619.0)	(37.0, 38706.0)	
ERR4588278_2.pr	(27.0, 75.0)	(28.0, 2186.0)	(29.0, 6759.0)	(30.0, 9303.0)	(31.0, 11721.0)	(32.0, 15133.0)	(33.0, 17353.0)	(34.0, 15595.0)	(35.0, 9955.0)	(36.0, 2257.0)	(37.0, 99.0)	
ERR4588279_1.pr	(28.0, 6.0)	(29.0, 96.0)	(30.0, 242.0)	(31.0, 534.0)	(32.0, 1006.0)	(33.0, 1966.0)	(34.0, 3568.0)	(35.0, 6722.0)	(36.0, 13706.0)	(37.0, 22670.0)		
ERR4588279_2.pr	(27.0, 38.0)	(28.0, 1499.0)	(29.0, 4275.0)	(30.0, 5598.0)	(31.0, 7321.0)	(32.0, 9050.0)	(33.0, 9564.0)	(34.0, 8022.0)	(35.0, 4302.0)	(36.0, 829.0)	(37.0, 18.0)	
ERR4588280_1.pr	(27.0, 2.0)	(28.0, 55.0)	(29.0, 493.0)	(30.0, 1153.0)	(31.0, 2266.0)	(32.0, 3955.0)	(33.0, 7570.0)	(34.0, 13810.0)	(35.0, 25679.0)	(36.0, 51805.0)	(37.0, 82831.0)	
ERR4588280_2.pr	(27.0, 134.0)	(28.0, 5620.0)	(29.0, 16988.0)	(30.0, 21692.0)	(31.0, 26670.0)	(32.0, 31926.0)	(33.0, 34496.0)	(34.0, 29080.0)	(35.0, 17451.0)	(36.0, 5331.0)	(37.0, 231.0)	
ERR4588281_1.pr	(27.0, 1.0)	(28.0, 20.0)	(29.0, 172.0)	(30.0, 442.0)	(31.0, 765.0)	(32.0, 1523.0)	(33.0, 3227.0)	(34.0, 6682.0)	(35.0, 14398.0)	(36.0, 32114.0)	(37.0, 47395.0)	
ERR4588281_2.pr	(27.0, 119.0)	(28.0, 5232.0)	(29.0, 14854.0)	(30.0, 18103.0)	(31.0, 19606.0)	(32.0, 18755.0)	(33.0, 15217.0)	(34.0, 9682.0)	(35.0, 4317.0)	(36.0, 807.0)	(37.0, 47.0)	
ERR4588282_1.pr	(27.0, 1.0)	(28.0, 3.0)	(29.0, 54.0)	(30.0, 148.0)	(31.0, 263.0)	(32.0, 541.0)	(33.0, 1008.0)	(34.0, 2004.0)	(35.0, 3925.0)	(36.0, 9787.0)	(37.0, 22114.0)	
ERR4588282_2.pr	(27.0, 4.0)	(28.0, 668.0)	(29.0, 2620.0)	(30.0, 3586.0)	(31.0, 4723.0)	(32.0, 6147.0)	(33.0, 7238.0)	(34.0, 7768.0)	(35.0, 5498.0)	(36.0, 1558.0)	(37.0, 38.0)	
ERR4588283_1.pr	(27.0, 1.0)	(28.0, 43.0)	(29.0, 535.0)	(30.0, 1211.0)	(31.0, 2340.0)	(32.0, 4628.0)	(33.0, 9083.0)	(34.0, 17512.0)	(35.0, 34361.0)	(36.0, 71220.0)	(37.0, 112327.0)	
ERR4588283_2.pr	(27.0, 183.0)	(28.0, 8580.0)	(29.0, 26674.0)	(30.0, 33835.0)	(31.0, 39464.0)	(32.0, 44840.0)	(33.0, 44310.0)	(34.0, 34233.0)	(35.0, 17115.0)	(36.0, 3843.0)	(37.0, 184.0)	
ERR4588284_1.pr	(27.0, 2.0)	(28.0, 15.0)	(29.0, 234.0)	(30.0, 597.0)	(31.0, 1117.0)	(32.0, 2023.0)	(33.0, 3868.0)	(34.0, 7476.0)	(35.0, 14736.0)	(36.0, 33372.0)	(37.0, 89479.0)	
ERR4588284_2.pr	(27.0, 17.0)	(28.0, 1619.0)	(29.0, 8029.0)	(30.0, 11480.0)	(31.0, 14984.0)	(32.0, 19589.0)	(33.0, 26224.0)	(34.0, 31937.0)	(35.0, 28434.0)	(36.0, 10279.0)	(37.0, 327.0)	
ERR4588285_1.pr	(28.0, 2.0)	(29.0, 54.0)	(30.0, 155.0)	(31.0, 298.0)	(32.0, 587.0)	(33.0, 1060.0)	(34.0, 2096.0)	(35.0, 4039.0)	(36.0, 9243.0)	(37.0, 23882.0)		
ERR4588285_2.pr	(27.0, 6.0)	(28.0, 461.0)	(29.0, 2306.0)	(30.0, 3274.0)	(31.0, 4188.0)	(32.0, 5463.0)	(33.0, 7251.0)	(34.0, 8717.0)	(35.0, 7128.0)	(36.0, 2538.0)	(37.0, 84.0)	
ERR4588286_1.pr	(29.0, 1.0)	(30.0, 11.0)	(31.0, 8.0)	(32.0, 27.0)	(33.0, 58.0)	(34.0, 175.0)	(35.0, 602.0)	(36.0, 1578.0)	(37.0, 1194.0)			
ERR4588286_2.pr	(27.0, 85.0)	(28.0, 395.0)	(29.0, 680.0)	(30.0, 733.0)	(31.0, 660.0)	(32.0, 597.0)	(33.0, 369.0)	(34.0, 121.0)	(35.0, 10.0)	(36.0, 4.0)		
ERR4588287_1.pr	(29.0, 5.0)	(30.0, 3.0)	(31.0, 10.0)	(32.0, 16.0)	(33.0, 38.0)	(34.0, 92.0)	(35.0, 279.0)	(36.0, 765.0)	(37.0, 636.0)			
ERR4588287_2.pr	(26.0, 3.0)	(27.0, 61.0)	(28.0, 215.0)	(29.0, 320.0)	(30.0, 340.0)	(31.0, 307.0)	(32.0, 304.0)	(33.0, 219.0)	(34.0, 64.0)	(35.0, 10.0)	(36.0, 1.0)	
