Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR19646177_1	SRR19646177_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1253647.0	0.0	250-350	56.0	39.548063722107194	345.50586568627375	350	pass	fail	pass	fail	fail	pass	warn	fail	pass	pass
SRR19646177_2	SRR19646177_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1253647.0	0.0	250-260	54.0	37.696700611160225	259.1646563984918	259	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
SRR19646178_1	SRR19646178_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2473357.0	0.0	250-350	56.0	25.23351497752784	332.3755013934503	347	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
SRR19646178_2	SRR19646178_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2473357.0	0.0	250-260	55.0	13.543733441455325	259.2043530311233	259	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
SRR19646179_1	SRR19646179_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3180445.0	0.0	250-350	56.0	30.42725698710959	347.79091872363773	350	pass	fail	pass	fail	fail	pass	warn	fail	pass	pass
SRR19646179_2	SRR19646179_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3180445.0	0.0	250-260	54.0	26.24524799140677	259.08893472454326	259	pass	fail	pass	fail	fail	pass	warn	fail	pass	pass
SRR19646180_1	SRR19646180_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3727615.0	0.0	250-350	56.0	16.55716817440594	347.18066511697157	350	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
SRR19646180_2	SRR19646180_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3727615.0	0.0	250-260	54.0	9.424146150832518	259.29932222077656	259	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
