Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR4588272_2	ERR4588272_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	476580.0	0.0	250-301	55.0	10.779092702169626	299.94333794955725	300	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588273_1	ERR4588273_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	177242.0	0.0	250-301	55.0	12.862075580280068	299.46057367892485	300	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588273_2	ERR4588273_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	177242.0	0.0	250-301	55.0	12.974351451687523	299.6324855282608	300	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588274_1	ERR4588274_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	271880.0	0.0	250-301	55.0	9.069810210386937	300.01494041488894	300	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588274_2	ERR4588274_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	271880.0	0.0	250-301	56.0	9.397160511990583	300.14348241871414	300	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588275_1	ERR4588275_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	240764.0	0.0	250-301	55.0	9.860693459155023	300.08076788888707	300	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588275_2	ERR4588275_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	240764.0	0.0	250-301	56.0	10.00814075193966	300.1823860710073	300	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588276_1	ERR4588276_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	241858.0	0.0	250-301	56.0	9.689569912924112	299.97575023360815	300	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588276_2	ERR4588276_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	241858.0	0.0	250-301	56.0	9.84131184413995	300.06562941891525	300	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588277_1	ERR4588277_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	136404.0	0.0	250-301	56.0	11.29219084484326	300.2043635084015	300	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588277_2	ERR4588277_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	136404.0	0.0	250-301	56.0	12.974692824257353	300.2043635084015	300	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588278_1	ERR4588278_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	271950.0	0.0	250-301	56.0	9.899246184960472	300.09343997058284	300	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588278_2	ERR4588278_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	271950.0	0.0	250-301	55.0	10.99797756940614	300.09343997058284	300	pass	fail	fail	pass	fail	fail	warn	warn	fail	fail	pass
ERR4588279_1	ERR4588279_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	159125.0	0.0	250-301	55.0	10.724273369992146	300.2359434406913	300	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588279_2	ERR4588279_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	159125.0	0.0	250-301	55.0	12.13197172034564	300.2359434406913	300	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588280_1	ERR4588280_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	597337.0	0.0	250-301	55.0	9.118805632331497	300.1088774008642	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588280_2	ERR4588280_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	597337.0	0.0	250-301	56.0	9.871479583551663	300.14323991314785	300	pass	fail	pass	pass	fail	warn	pass	warn	fail	fail	pass
ERR4588281_1	ERR4588281_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	259719.0	0.0	250-301	55.0	12.198568452827864	299.88482744812666	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
