Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR4588259_1	(1.0, 7.183415530594258)	(2.0, 2.1936354942149383)	(3.0, 1.3619742344403396)	(4.0, 0.9653646370506497)	(5.0, 0.8129090329476625)	(6.0, 0.681830967427382)	(7.0, 0.552628124589795)	(8.0, 0.4950587882311025)	(9.0, 0.44217750857914373)	('>10', 7.217169538882742)	('>50', 3.886961576687232)	('>100', 13.765822191385228)	('>500', 8.315299941868098)	('>1k', 23.443096367693663)	('>5k', 10.588819922365781)	('>10k+', 18.093836143041987)
ERR4588259_2	(1.0, 8.15103043486414)	(2.0, 2.3072739887861684)	(3.0, 1.4109175464586419)	(4.0, 0.9976184671929792)	(5.0, 0.8147842556303562)	(6.0, 0.6368256230427363)	(7.0, 0.6103849832167569)	(8.0, 0.5535657359311419)	(9.0, 0.4539914114801133)	('>10', 7.118157781236521)	('>50', 3.4834136553715753)	('>100', 13.323082116001276)	('>500', 8.555891012057682)	('>1k', 22.771954169557635)	('>5k', 8.752789393740507)	('>10k+', 20.05831942543177)
ERR4588260_1	(1.0, 7.983408635728334)	(2.0, 2.4164504686360444)	(3.0, 1.386602721724346)	(4.0, 1.0811030502550345)	(5.0, 0.8320519507497499)	(6.0, 0.6733185663869076)	(7.0, 0.5437126451575027)	(8.0, 0.4750711816492466)	(9.0, 0.4430083927736796)	('>10', 7.8016442340041685)	('>50', 4.407730293239041)	('>100', 16.563365779972496)	('>500', 6.745830143989018)	('>1k', 19.05884424935818)	('>5k', 11.140238574244549)	('>10k+', 18.4476191121317)
ERR4588260_2	(1.0, 8.239233563869302)	(2.0, 2.3180041591307825)	(3.0, 1.431987373583423)	(4.0, 1.0467823185009066)	(5.0, 0.8252781221140667)	(6.0, 0.6868662236582739)	(7.0, 0.597451685667256)	(8.0, 0.4931347246777351)	(9.0, 0.46739417586213905)	('>10', 7.39385975013604)	('>50', 4.118713604783227)	('>100', 15.470069838173234)	('>500', 8.22704067232507)	('>1k', 19.770096256104914)	('>5k', 10.42988974464924)	('>10k+', 18.48419778676439)
ERR4588261_1	(1.0, 8.819384785686879)	(2.0, 2.6689394531051036)	(3.0, 1.4964397162638923)	(4.0, 1.094740559390694)	(5.0, 0.8488993171453894)	(6.0, 0.6010207165389356)	(7.0, 0.5134143070095315)	(8.0, 0.5025483957500705)	(9.0, 0.403396955507489)	('>10', 7.540602854339064)	('>50', 4.694752783540861)	('>100', 14.918217039786214)	('>500', 11.97287596901857)	('>1k', 30.079898403729725)	('>5k', 5.89713377634559)	('>10k+', 7.947734966841994)
ERR4588261_2	(1.0, 9.066584266839616)	(2.0, 2.5854077602979975)	(3.0, 1.4169827401790838)	(4.0, 1.0078132693150061)	(5.0, 0.7775917745051766)	(6.0, 0.6601041090122547)	(7.0, 0.6013602762657938)	(8.0, 0.5161307848243967)	(9.0, 0.388116767798872)	('>10', 7.86522195321546)	('>50', 4.1035792990808115)	('>100', 14.366432483641711)	('>500', 13.302931419121967)	('>1k', 27.004845517302268)	('>5k', 5.382021670701768)	('>10k+', 10.954875907897819)
ERR4588262_1	(1.0, 8.310461019328107)	(2.0, 2.5293334422872635)	(3.0, 1.3785876686582803)	(4.0, 0.8902176995659468)	(5.0, 0.7618763789481781)	(6.0, 0.6864097597085163)	(7.0, 0.5518196107460621)	(8.0, 0.5268242973673206)	(9.0, 0.4412634169554747)	('>10', 7.619725147688655)	('>50', 3.7329539172943536)	('>100', 18.35184749013406)	('>500', 13.417676493349804)	('>1k', 31.358543350044943)	('>5k', 3.9069597527386692)	('>10k+', 5.535500555184365)
ERR4588262_2	(1.0, 8.276332802984056)	(2.0, 2.512028994563519)	(3.0, 1.336768586659232)	(4.0, 0.924826595013435)	(5.0, 0.8051374982575382)	(6.0, 0.6258441926754118)	(7.0, 0.47779502881671226)	(8.0, 0.43453390950735193)	(9.0, 0.4801984243338989)	('>10', 7.445719312244339)	('>50', 4.3097688414191575)	('>100', 17.880301289662036)	('>500', 13.691663582309085)	('>1k', 30.76971144833421)	('>5k', 3.622397723503766)	('>10k+', 6.406971769716255)
ERR4588263_1	(1.0, 5.816953316953317)	(2.0, 1.9097610006700916)	(3.0, 1.222917132008041)	(4.0, 0.8443153897699353)	(5.0, 0.6477551932097387)	(6.0, 0.71364753182935)	(7.0, 0.5394237212419031)	(8.0, 0.4467277194549922)	(9.0, 0.4271833817288363)	('>10', 6.548469957560867)	('>50', 4.096493187402278)	('>100', 11.234085324994416)	('>500', 9.16685280321644)	('>1k', 33.64697341970069)	('>5k', 11.603194103194102)	('>10k+', 11.135246817065)
ERR4588263_2	(1.0, 6.007929417020326)	(2.0, 1.9667187849006031)	(3.0, 1.192763010944829)	(4.0, 0.9783337056064328)	(5.0, 0.7147643511279875)	(6.0, 0.6265356265356266)	(7.0, 0.535514853696672)	(8.0, 0.455662273844092)	(9.0, 0.40205494750949294)	('>10', 6.774067455885638)	('>50', 3.6821532276077726)	('>100', 11.234085324994416)	('>500', 8.999888318070136)	('>1k', 33.95912441366987)	('>5k', 10.747710520437794)	('>10k+', 11.722693768148314)
