.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR33075541_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075541_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
SRR33075542_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075542_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
SRR33075543_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075543_2	1	0.25	0.5	1	0.25	0.25	1	0.5	1	1	1
SRR33075544_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075544_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
SRR33075545_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075545_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
SRR33075546_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075546_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
SRR33075547_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075547_2	1	0.25	0.5	1	0.25	0.25	1	0.5	1	1	1
SRR33075548_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075548_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
SRR33075549_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075549_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
SRR33075550_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075550_2	1	0.25	0.5	1	0.25	0.25	1	0.5	1	1	1
SRR33075551_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075551_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
SRR33075552_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075552_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
SRR33075553_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075553_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
SRR33075554_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075554_2	1	0.25	0.5	1	0.25	0.5	1	0.5	1	1	1
SRR33075555_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075555_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.5	1	1
SRR33075556_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075556_2	1	0.25	0.5	1	0.25	1	1	0.5	1	1	1
SRR33075557_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075557_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.5	1	1
SRR33075558_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
