Sample	0	1	2	3	4	5	6	7	8	9	10	11
SRR33022251_1	(27.0, 3.0)	(28.0, 206.0)	(29.0, 1351.0)	(30.0, 2670.0)	(31.0, 5652.0)	(32.0, 12364.0)	(33.0, 27347.0)	(34.0, 57150.0)	(35.0, 117236.0)	(36.0, 203817.0)	(37.0, 71627.0)	
SRR33022251_2	(27.0, 198.0)	(28.0, 17294.0)	(29.0, 55982.0)	(30.0, 70293.0)	(31.0, 82170.0)	(32.0, 92285.0)	(33.0, 91925.0)	(34.0, 65265.0)	(35.0, 22461.0)	(36.0, 1548.0)	(37.0, 2.0)	
SRR33022252_1	(28.0, 252.0)	(29.0, 2715.0)	(30.0, 4746.0)	(31.0, 7486.0)	(32.0, 13277.0)	(33.0, 23428.0)	(34.0, 43573.0)	(35.0, 83551.0)	(36.0, 158132.0)	(37.0, 84473.0)		
SRR33022252_2	(27.0, 237.0)	(28.0, 13741.0)	(29.0, 41352.0)	(30.0, 52658.0)	(31.0, 65424.0)	(32.0, 77458.0)	(33.0, 81945.0)	(34.0, 63082.0)	(35.0, 23756.0)	(36.0, 1972.0)	(37.0, 8.0)	
SRR33022253_1	(27.0, 6.0)	(28.0, 556.0)	(29.0, 3989.0)	(30.0, 7624.0)	(31.0, 13027.0)	(32.0, 22980.0)	(33.0, 40684.0)	(34.0, 73135.0)	(35.0, 137990.0)	(36.0, 240867.0)	(37.0, 109573.0)	
SRR33022253_2	(27.0, 306.0)	(28.0, 18373.0)	(29.0, 56505.0)	(30.0, 74490.0)	(31.0, 93023.0)	(32.0, 114045.0)	(33.0, 127059.0)	(34.0, 110065.0)	(35.0, 50797.0)	(36.0, 5736.0)	(37.0, 32.0)	
SRR33022254_1	(27.0, 2.0)	(28.0, 241.0)	(29.0, 2065.0)	(30.0, 3855.0)	(31.0, 6676.0)	(32.0, 11529.0)	(33.0, 21500.0)	(34.0, 40727.0)	(35.0, 80602.0)	(36.0, 149877.0)	(37.0, 74947.0)	
SRR33022254_2	(27.0, 236.0)	(28.0, 12844.0)	(29.0, 38347.0)	(30.0, 50092.0)	(31.0, 60824.0)	(32.0, 72041.0)	(33.0, 75726.0)	(34.0, 57810.0)	(35.0, 22190.0)	(36.0, 1905.0)	(37.0, 6.0)	
SRR33022255_1	(27.0, 4.0)	(28.0, 223.0)	(29.0, 1841.0)	(30.0, 3498.0)	(31.0, 6126.0)	(32.0, 10532.0)	(33.0, 19088.0)	(34.0, 35373.0)	(35.0, 68106.0)	(36.0, 125939.0)	(37.0, 62321.0)	
SRR33022255_2	(27.0, 190.0)	(28.0, 9766.0)	(29.0, 29789.0)	(30.0, 39122.0)	(31.0, 48814.0)	(32.0, 58708.0)	(33.0, 65628.0)	(34.0, 54514.0)	(35.0, 23984.0)	(36.0, 2529.0)	(37.0, 7.0)	
SRR33022256_1	(27.0, 1.0)	(28.0, 98.0)	(29.0, 963.0)	(30.0, 2102.0)	(31.0, 3806.0)	(32.0, 7041.0)	(33.0, 12864.0)	(34.0, 23863.0)	(35.0, 47941.0)	(36.0, 116985.0)	(37.0, 123458.0)	
SRR33022256_2	(27.0, 232.0)	(28.0, 9333.0)	(29.0, 24148.0)	(30.0, 31356.0)	(31.0, 39870.0)	(32.0, 50868.0)	(33.0, 60978.0)	(34.0, 66290.0)	(35.0, 46921.0)	(36.0, 9072.0)	(37.0, 54.0)	
SRR33022257_1	(27.0, 3.0)	(28.0, 98.0)	(29.0, 1012.0)	(30.0, 2146.0)	(31.0, 3934.0)	(32.0, 7144.0)	(33.0, 13536.0)	(34.0, 26614.0)	(35.0, 55663.0)	(36.0, 138095.0)	(37.0, 144845.0)	
SRR33022257_2	(26.0, 1.0)	(27.0, 322.0)	(28.0, 12282.0)	(29.0, 30872.0)	(30.0, 39574.0)	(31.0, 50845.0)	(32.0, 62239.0)	(33.0, 73188.0)	(34.0, 72476.0)	(35.0, 44085.0)	(36.0, 7181.0)	(37.0, 25.0)
SRR33022258_1	(27.0, 8.0)	(28.0, 152.0)	(29.0, 1735.0)	(30.0, 3671.0)	(31.0, 6442.0)	(32.0, 11374.0)	(33.0, 19586.0)	(34.0, 34884.0)	(35.0, 66096.0)	(36.0, 155727.0)	(37.0, 165587.0)	
SRR33022258_2	(27.0, 249.0)	(28.0, 10657.0)	(29.0, 28095.0)	(30.0, 36965.0)	(31.0, 48782.0)	(32.0, 64049.0)	(33.0, 81532.0)	(34.0, 95882.0)	(35.0, 79028.0)	(36.0, 19875.0)	(37.0, 148.0)	
SRR33022259_1	(27.0, 2.0)	(28.0, 112.0)	(29.0, 1239.0)	(30.0, 2548.0)	(31.0, 4311.0)	(32.0, 7928.0)	(33.0, 14200.0)	(34.0, 26466.0)	(35.0, 53352.0)	(36.0, 128166.0)	(37.0, 135068.0)	
SRR33022259_2	(27.0, 227.0)	(28.0, 10437.0)	(29.0, 26857.0)	(30.0, 34940.0)	(31.0, 44671.0)	(32.0, 56478.0)	(33.0, 69012.0)	(34.0, 72603.0)	(35.0, 49019.0)	(36.0, 9108.0)	(37.0, 40.0)	
SRR33022260_1	(27.0, 1.0)	(28.0, 75.0)	(29.0, 912.0)	(30.0, 1912.0)	(31.0, 3317.0)	(32.0, 5923.0)	(33.0, 10911.0)	(34.0, 20453.0)	(35.0, 40972.0)	(36.0, 97180.0)	(37.0, 95561.0)	
SRR33022260_2	(27.0, 190.0)	(28.0, 7537.0)	(29.0, 19413.0)	(30.0, 25489.0)	(31.0, 32513.0)	(32.0, 41190.0)	(33.0, 50892.0)	(34.0, 55085.0)	(35.0, 37958.0)	(36.0, 6927.0)	(37.0, 23.0)	
SRR33022261_1	(28.0, 94.0)	(29.0, 945.0)	(30.0, 2106.0)	(31.0, 3655.0)	(32.0, 6577.0)	(33.0, 11855.0)	(34.0, 21852.0)	(35.0, 43249.0)	(36.0, 100327.0)	(37.0, 97167.0)		
SRR33022261_2	(27.0, 194.0)	(28.0, 7852.0)	(29.0, 19953.0)	(30.0, 26268.0)	(31.0, 34173.0)	(32.0, 43335.0)	(33.0, 52610.0)	(34.0, 56968.0)	(35.0, 38968.0)	(36.0, 7476.0)	(37.0, 30.0)	
SRR33022262_1	(27.0, 11.0)	(28.0, 201.0)	(29.0, 1102.0)	(30.0, 2140.0)	(31.0, 4431.0)	(32.0, 9935.0)	(33.0, 22309.0)	(34.0, 49068.0)	(35.0, 106091.0)	(36.0, 183069.0)	(37.0, 55370.0)	
SRR33022262_2	(27.0, 241.0)	(28.0, 19107.0)	(29.0, 57319.0)	(30.0, 68658.0)	(31.0, 77226.0)	(32.0, 80849.0)	(33.0, 72034.0)	(34.0, 44890.0)	(35.0, 12635.0)	(36.0, 762.0)	(37.0, 6.0)	
