Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR33075551_1	SRR33075551_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	413280.0	0.0	250-301	57.0	7.516211769260551	300.4261372435153	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR33075551_2	SRR33075551_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	413280.0	0.0	250-301	55.0	64.34376305061657	300.4261372435153	300	pass	fail	warn	pass	fail	fail	pass	warn	warn	pass	pass
SRR33075552_1	SRR33075552_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	365344.0	0.0	250-301	56.0	9.019170973110274	300.3874594902339	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR33075552_2	SRR33075552_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	365344.0	0.0	250-301	55.0	69.13819075055581	300.3874594902339	300	pass	fail	warn	pass	fail	fail	pass	warn	warn	pass	pass
SRR33075553_1	SRR33075553_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	357808.0	0.0	250-301	56.0	9.259994186826455	300.3484829852882	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR33075553_2	SRR33075553_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	357808.0	0.0	250-301	55.0	65.44684644085703	300.3484829852882	300	pass	fail	warn	pass	fail	fail	pass	warn	warn	pass	pass
SRR33075554_1	SRR33075554_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	377691.0	0.0	250-301	54.0	6.584218316030829	300.4369378671983	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR33075554_2	SRR33075554_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	377691.0	0.0	250-301	49.0	74.38123833686309	300.4369378671983	300	pass	fail	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR33075555_1	SRR33075555_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	412411.0	0.0	250-301	54.0	5.734570610386241	300.4437308898162	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR33075555_2	SRR33075555_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	412411.0	0.0	250-301	49.0	69.25506330567825	300.4437308898162	300	pass	fail	warn	pass	fail	warn	pass	warn	warn	pass	pass
SRR33075556_1	SRR33075556_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	464122.0	0.0	250-301	54.0	5.970628412357096	300.44076988378055	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR33075556_2	SRR33075556_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	464122.0	0.0	250-301	49.0	76.33984793791917	300.44076988378055	300	pass	fail	warn	pass	fail	pass	pass	warn	pass	pass	pass
SRR33075557_1	SRR33075557_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	420622.0	0.0	250-301	54.0	5.5524913104878015	300.43294692146395	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR33075557_2	SRR33075557_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	420622.0	0.0	250-301	49.0	68.15447312965915	300.43294692146395	300	pass	fail	warn	pass	fail	warn	pass	warn	warn	pass	pass
SRR33075558_1	SRR33075558_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1087599.0	0.0	250-301	55.0	4.269864168687172	300.4416660000607	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR33075558_2	SRR33075558_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1087599.0	0.0	250-301	52.0	66.02568186196052	300.4416660000607	300	pass	fail	warn	pass	fail	fail	pass	warn	warn	pass	pass
SRR33075559_1	SRR33075559_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	427658.0	0.0	250-301	54.0	6.263416094168704	300.4271333635756	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR33075559_2	SRR33075559_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	427658.0	0.0	250-301	49.0	68.81416824320125	300.4271333635756	300	pass	fail	warn	pass	fail	warn	pass	warn	warn	pass	pass
SRR33075560_1	SRR33075560_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	349467.0	0.0	250-301	54.0	5.996274326331241	300.44758875659215	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR33075560_2	SRR33075560_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	349467.0	0.0	250-301	49.0	72.76890373090039	300.44758875659215	300	pass	fail	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR33075561_1	SRR33075561_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	371626.0	0.0	250-301	52.0	9.9223412785973	300.4485665696157	300	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR33075561_2	SRR33075561_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	371626.0	0.0	250-301	49.0	72.22514327644949	300.4485665696157	300	pass	fail	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR33075562_1	SRR33075562_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	323057.0	0.0	250-301	53.0	10.557270079273936	300.43755900661495	300	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR33075562_2	SRR33075562_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	323057.0	0.0	250-301	50.0	68.15123705365183	300.43755900661495	300	pass	fail	warn	pass	fail	warn	pass	warn	warn	pass	pass
SRR33075563_1	SRR33075563_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	538138.0	0.0	250-301	52.0	8.418844236980105	300.45961259007913	300	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR33075563_2	SRR33075563_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	538138.0	0.0	250-301	49.0	77.62169612612102	300.45961259007913	300	pass	fail	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR33075564_1	SRR33075564_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	384313.0	0.0	250-301	52.0	9.25599706489242	300.4581486965052	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR33075564_2	SRR33075564_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	384313.0	0.0	250-301	49.0	65.9789451263736	300.4581486965052	300	pass	fail	warn	pass	fail	fail	pass	warn	warn	pass	pass
SRR33075565_1	SRR33075565_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	387369.0	0.0	250-301	52.0	10.590418954536888	300.42473842770073	300	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR33075565_2	SRR33075565_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	387369.0	0.0	250-301	49.0	66.93746797978825	300.42473842770073	300	pass	fail	warn	pass	fail	warn	pass	warn	warn	pass	pass
SRR33075566_1	SRR33075566_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	312687.0	0.0	250-301	53.0	10.038153169143586	300.4570752861488	300	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR33075566_2	SRR33075566_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	312687.0	0.0	250-301	50.0	70.92609735324854	300.4570752861488	300	pass	fail	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR33075567_1	SRR33075567_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1462634.0	0.0	250-301	56.0	3.2428481766456954	300.4495471867877	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR33075567_2	SRR33075567_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1462634.0	0.0	250-301	52.0	65.20847571053261	300.4495471867877	300	pass	fail	warn	pass	fail	fail	pass	warn	warn	pass	pass
SRR33075568_1	SRR33075568_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1250430.0	0.0	250-301	56.0	3.0459921786905304	300.46396759514727	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR33075568_2	SRR33075568_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1250430.0	0.0	250-301	53.0	64.0940574685225	300.46396759514727	300	pass	fail	warn	pass	fail	fail	pass	warn	warn	pass	pass
SRR33075569_1	SRR33075569_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1196515.0	0.0	250-301	55.0	3.8474235592533317	300.4575333363978	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR33075569_2	SRR33075569_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1196515.0	0.0	250-301	52.0	66.82690162405268	300.4575333363978	300	pass	fail	warn	pass	fail	warn	pass	warn	warn	pass	pass
SRR33075570_1	SRR33075570_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1398782.0	0.0	250-301	55.0	3.7575547869503607	300.45362822798694	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR33075570_2	SRR33075570_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1398782.0	0.0	250-301	52.0	66.99583093885718	300.45362822798694	300	pass	fail	warn	pass	fail	fail	pass	warn	warn	pass	pass
