Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
ERR4588258_1	(2.0, 1122.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 0.0)	(15.0, 4.0)	(16.0, 14.0)	(17.0, 58.0)	(18.0, 368.0)	(19.0, 1162.0)	(20.0, 1428.0)	(21.0, 1374.0)	(22.0, 1402.0)	(23.0, 1877.0)	(24.0, 2590.0)	(25.0, 3659.0)	(26.0, 4796.0)	(27.0, 6530.0)	(28.0, 8635.0)	(29.0, 11584.0)	(30.0, 14786.0)	(31.0, 19308.0)	(32.0, 24925.0)	(33.0, 33544.0)	(34.0, 48588.0)	(35.0, 76199.0)	(36.0, 147331.0)	(37.0, 261524.0)
ERR4588258_2	(2.0, 1108.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 5.0)	(12.0, 10.0)	(13.0, 71.0)	(14.0, 210.0)	(15.0, 692.0)	(16.0, 1632.0)	(17.0, 2477.0)	(18.0, 4155.0)	(19.0, 5513.0)	(20.0, 6130.0)	(21.0, 7617.0)	(22.0, 9444.0)	(23.0, 11831.0)	(24.0, 14456.0)	(25.0, 17615.0)	(26.0, 20944.0)	(27.0, 25428.0)	(28.0, 31043.0)	(29.0, 38087.0)	(30.0, 47770.0)	(31.0, 59548.0)	(32.0, 75659.0)	(33.0, 92780.0)	(34.0, 96058.0)	(35.0, 63034.0)	(36.0, 19567.0)	(37.0, 19925.0)
ERR4588259_1	(2.0, 1667.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 2.0)	(16.0, 9.0)	(17.0, 63.0)	(18.0, 320.0)	(19.0, 883.0)	(20.0, 1352.0)	(21.0, 1441.0)	(22.0, 1716.0)	(23.0, 2326.0)	(24.0, 3199.0)	(25.0, 4315.0)	(26.0, 5870.0)	(27.0, 7762.0)	(28.0, 10294.0)	(29.0, 13345.0)	(30.0, 17284.0)	(31.0, 22234.0)	(32.0, 28928.0)	(33.0, 38338.0)	(34.0, 54953.0)	(35.0, 87603.0)	(36.0, 173170.0)	(37.0, 303050.0)
ERR4588259_2	(2.0, 1617.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 16.0)	(13.0, 97.0)	(14.0, 315.0)	(15.0, 1348.0)	(16.0, 2928.0)	(17.0, 4476.0)	(18.0, 6612.0)	(19.0, 8864.0)	(20.0, 10717.0)	(21.0, 13059.0)	(22.0, 15827.0)	(23.0, 18568.0)	(24.0, 22211.0)	(25.0, 25797.0)	(26.0, 30089.0)	(27.0, 35520.0)	(28.0, 42347.0)	(29.0, 50689.0)	(30.0, 62550.0)	(31.0, 76410.0)	(32.0, 92301.0)	(33.0, 101267.0)	(34.0, 87103.0)	(35.0, 45073.0)	(36.0, 12281.0)	(37.0, 12043.0)
ERR4588260_1	(2.0, 878.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 4.0)	(16.0, 8.0)	(17.0, 71.0)	(18.0, 339.0)	(19.0, 1170.0)	(20.0, 1514.0)	(21.0, 1239.0)	(22.0, 1381.0)	(23.0, 1672.0)	(24.0, 2349.0)	(25.0, 3226.0)	(26.0, 4383.0)	(27.0, 5888.0)	(28.0, 7945.0)	(29.0, 10139.0)	(30.0, 13293.0)	(31.0, 17450.0)	(32.0, 22594.0)	(33.0, 30675.0)	(34.0, 43618.0)	(35.0, 67767.0)	(36.0, 129327.0)	(37.0, 209454.0)
ERR4588260_2	(2.0, 861.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 9.0)	(13.0, 56.0)	(14.0, 149.0)	(15.0, 550.0)	(16.0, 1138.0)	(17.0, 1850.0)	(18.0, 3272.0)	(19.0, 4262.0)	(20.0, 4383.0)	(21.0, 5349.0)	(22.0, 6864.0)	(23.0, 8880.0)	(24.0, 11282.0)	(25.0, 13785.0)	(26.0, 17104.0)	(27.0, 20866.0)	(28.0, 25741.0)	(29.0, 32366.0)	(30.0, 40156.0)	(31.0, 51745.0)	(32.0, 66602.0)	(33.0, 82564.0)	(34.0, 87398.0)	(35.0, 60961.0)	(36.0, 17843.0)	(37.0, 10350.0)
ERR4588261_1	(2.0, 66.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 2.0)	(16.0, 22.0)	(17.0, 142.0)	(18.0, 971.0)	(19.0, 2564.0)	(20.0, 1585.0)	(21.0, 1020.0)	(22.0, 1313.0)	(23.0, 1774.0)	(24.0, 2648.0)	(25.0, 3830.0)	(26.0, 5408.0)	(27.0, 7361.0)	(28.0, 9512.0)	(29.0, 12398.0)	(30.0, 16028.0)	(31.0, 20710.0)	(32.0, 27775.0)	(33.0, 38705.0)	(34.0, 57078.0)	(35.0, 87766.0)	(36.0, 112279.0)	(37.0, 47054.0)
ERR4588261_2	(2.0, 67.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 3.0)	(12.0, 47.0)	(13.0, 91.0)	(14.0, 198.0)	(15.0, 619.0)	(16.0, 1805.0)	(17.0, 3896.0)	(18.0, 3662.0)	(19.0, 3785.0)	(20.0, 5194.0)	(21.0, 6981.0)	(22.0, 9261.0)	(23.0, 11905.0)	(24.0, 14908.0)	(25.0, 18545.0)	(26.0, 23409.0)	(27.0, 29637.0)	(28.0, 37768.0)	(29.0, 48857.0)	(30.0, 58704.0)	(31.0, 63513.0)	(32.0, 55625.0)	(33.0, 34152.0)	(34.0, 12839.0)	(35.0, 3551.0)	(36.0, 3158.0)	(37.0, 5832.0)
ERR4588262_1	(2.0, 42.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 6.0)	(17.0, 66.0)	(18.0, 464.0)	(19.0, 1615.0)	(20.0, 1230.0)	(21.0, 780.0)	(22.0, 871.0)	(23.0, 1249.0)	(24.0, 1851.0)	(25.0, 2702.0)	(26.0, 3948.0)	(27.0, 5099.0)	(28.0, 7116.0)	(29.0, 9011.0)	(30.0, 11447.0)	(31.0, 15056.0)	(32.0, 19887.0)	(33.0, 27718.0)	(34.0, 41324.0)	(35.0, 62602.0)	(36.0, 80769.0)	(37.0, 29209.0)
ERR4588262_2	(2.0, 42.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 3.0)	(12.0, 15.0)	(13.0, 26.0)	(14.0, 118.0)	(15.0, 458.0)	(16.0, 1305.0)	(17.0, 2682.0)	(18.0, 2652.0)	(19.0, 2875.0)	(20.0, 3896.0)	(21.0, 5266.0)	(22.0, 6953.0)	(23.0, 8702.0)	(24.0, 10987.0)	(25.0, 13663.0)	(26.0, 17404.0)	(27.0, 21984.0)	(28.0, 28069.0)	(29.0, 35149.0)	(30.0, 42669.0)	(31.0, 44718.0)	(32.0, 37703.0)	(33.0, 22698.0)	(34.0, 8495.0)	(35.0, 1982.0)	(36.0, 1260.0)	(37.0, 2290.0)
