Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR4588259_1	(1.0, 8.400448646050313)	(2.0, 2.3065534369492067)	(3.0, 1.4090049671526998)	(4.0, 1.0336804999198848)	(5.0, 0.8024355071302676)	(6.0, 0.7060406986059926)	(7.0, 0.609261336324307)	(8.0, 0.5055600064092293)	(9.0, 0.4360839609037014)	('>10', 7.224995994231693)	('>50', 3.1871815414196445)	('>100', 12.105239544944721)	('>500', 6.415510334882231)	('>1k', 20.63246274635475)	('>5k', 12.471462906585483)	('>10k+', 21.754077872135877)
ERR4588259_2	(1.0, 15.675926275441062)	(2.0, 2.644967323847286)	(3.0, 1.5331757825962888)	(4.0, 1.0650735127327715)	(5.0, 0.8807499703294414)	(6.0, 0.7306881956293512)	(7.0, 0.6174664502112622)	(8.0, 0.5307532896106796)	(9.0, 0.46995761978342865)	('>10', 7.761402438378799)	('>50', 3.2659590538830012)	('>100', 10.669689005405194)	('>500', 6.339236914516768)	('>1k', 19.4174408355374)	('>5k', 8.703622448988568)	('>10k+', 19.693890883108704)
ERR4588260_1	(1.0, 9.658094301224699)	(2.0, 2.550022814532597)	(3.0, 1.4859807733345824)	(4.0, 1.087463804700661)	(5.0, 0.8145568862587115)	(6.0, 0.7057758068797526)	(7.0, 0.5586524331742388)	(8.0, 0.520483633392148)	(9.0, 0.4137844885467577)	('>10', 7.424005052161135)	('>50', 3.8111546582417715)	('>100', 14.676077010758396)	('>500', 7.666897414410803)	('>1k', 17.460837943950853)	('>5k', 13.721683521661662)	('>10k+', 17.44452945677123)
ERR4588260_2	(1.0, 13.260708517020683)	(2.0, 2.514282938373003)	(3.0, 1.497951896902602)	(4.0, 1.059010699408557)	(5.0, 0.8587979950970442)	(6.0, 0.685997428810851)	(7.0, 0.6424502981503747)	(8.0, 0.5232595461035727)	(9.0, 0.4699967209531097)	('>10', 7.3561686852756925)	('>50', 3.555770688790691)	('>100', 13.638579634863381)	('>500', 6.849044131807275)	('>1k', 16.609673708810227)	('>5k', 13.564670958921695)	('>10k+', 16.91363615071124)
ERR4588261_1	(1.0, 9.946245949887777)	(2.0, 2.869357134747561)	(3.0, 1.5910063491786242)	(4.0, 1.1082679056443936)	(5.0, 0.8209391893662176)	(6.0, 0.6576246910561295)	(7.0, 0.5242220727841191)	(8.0, 0.4750967223566195)	(9.0, 0.41068792957389766)	('>10', 6.994794896203594)	('>50', 3.596630655965346)	('>100', 11.049710487934814)	('>500', 10.532038461874361)	('>1k', 28.956446555985433)	('>5k', 6.571661877854728)	('>10k+', 13.895269119586388)
ERR4588261_2	(1.0, 12.603381570788539)	(2.0, 2.922194178318472)	(3.0, 1.6335816528824574)	(4.0, 1.1065212265180824)	(5.0, 0.8340392828135507)	(6.0, 0.6851348872955294)	(7.0, 0.5563173017300858)	(8.0, 0.46461664759875293)	(9.0, 0.4421281538474975)	('>10', 7.319022209025092)	('>50', 3.6202108241705457)	('>100', 11.722400286455377)	('>500', 9.516999554596822)	('>1k', 29.050985563697022)	('>5k', 4.6083945398810515)	('>10k+', 12.914072120381126)
ERR4588262_1	(1.0, 8.939592179322602)	(2.0, 2.6593512392613805)	(3.0, 1.4635997827589613)	(4.0, 0.9998025081465389)	(5.0, 0.6696208156413548)	(6.0, 0.5961785326355288)	(7.0, 0.5356966525130838)	(8.0, 0.4813863928112966)	(9.0, 0.3665942529870643)	('>10', 6.923323787893749)	('>50', 3.4817196603140124)	('>100', 14.190715414239163)	('>500', 10.398254665745037)	('>1k', 32.73242322504197)	('>5k', 5.679433692110201)	('>10k+', 9.882307198578058)
ERR4588262_2	(1.0, 11.611903821467365)	(2.0, 2.7722918929594154)	(3.0, 1.5580255751950232)	(4.0, 1.0454724992594056)	(5.0, 0.7560235015305619)	(6.0, 0.6813468944406044)	(7.0, 0.5464969882492348)	(8.0, 0.4813863928112966)	(9.0, 0.4582428162338304)	('>10', 7.153833810605313)	('>50', 3.3684704255949445)	('>100', 13.979645995852671)	('>500', 9.644082650340675)	('>1k', 29.05228596820381)	('>5k', 7.155993877752542)	('>10k+', 9.734496889503308)
ERR4588263_1	(1.0, 6.527197918557512)	(2.0, 2.078417135596297)	(3.0, 1.3409874750408424)	(4.0, 0.9484479941913234)	(5.0, 0.7506655775397834)	(6.0, 0.6080958431657288)	(7.0, 0.4923761118170267)	(8.0, 0.49313244993041694)	(9.0, 0.33694862951533855)	('>10', 6.66409511708114)	('>50', 2.7905094693531796)	('>100', 9.989335632601199)	('>500', 8.14122345253222)	('>1k', 29.38713922671991)	('>5k', 13.393235311913838)	('>10k+', 16.05819265444424)
ERR4588263_2	(1.0, 9.181944696557148)	(2.0, 2.27052701639741)	(3.0, 1.4215374841168997)	(4.0, 1.0255944817571245)	(5.0, 0.839535305863133)	(6.0, 0.6920493737520421)	(7.0, 0.55855569673867)	(8.0, 0.5264113269195861)	(9.0, 0.45947540388455255)	('>10', 6.737459914079991)	('>50', 2.9413989229745265)	('>100', 10.856855448659768)	('>500', 5.7674562836570455)	('>1k', 31.07415138863678)	('>5k', 14.386685423851878)	('>10k+', 11.260361832153446)
