Sample	0	1	2	3	4	5	6	7	8	9	10	11
SRR19646177_1	(27.0, 94.0)	(28.0, 12155.0)	(29.0, 51671.0)	(30.0, 77070.0)	(31.0, 105801.0)	(32.0, 141682.0)	(33.0, 181020.0)	(34.0, 217130.0)	(35.0, 226763.0)	(36.0, 176470.0)	(37.0, 63791.0)	
SRR19646177_2	(27.0, 1024.0)	(28.0, 24275.0)	(29.0, 62962.0)	(30.0, 94086.0)	(31.0, 137303.0)	(32.0, 198362.0)	(33.0, 262749.0)	(34.0, 271851.0)	(35.0, 166528.0)	(36.0, 34165.0)	(37.0, 342.0)	
SRR19646178_1	(27.0, 48.0)	(28.0, 2084.0)	(29.0, 9297.0)	(30.0, 17876.0)	(31.0, 33080.0)	(32.0, 60339.0)	(33.0, 105067.0)	(34.0, 188086.0)	(35.0, 381059.0)	(36.0, 818622.0)	(37.0, 857799.0)	
SRR19646178_2	(26.0, 4.0)	(27.0, 3215.0)	(28.0, 67428.0)	(29.0, 160271.0)	(30.0, 214424.0)	(31.0, 282807.0)	(32.0, 381006.0)	(33.0, 483578.0)	(34.0, 499489.0)	(35.0, 316914.0)	(36.0, 63728.0)	(37.0, 493.0)
SRR19646179_1	(27.0, 12.0)	(28.0, 1275.0)	(29.0, 6611.0)	(30.0, 12829.0)	(31.0, 24623.0)	(32.0, 48768.0)	(33.0, 98601.0)	(34.0, 198435.0)	(35.0, 421699.0)	(36.0, 1126596.0)	(37.0, 1240996.0)	
SRR19646179_2	(26.0, 3.0)	(27.0, 4307.0)	(28.0, 86003.0)	(29.0, 192036.0)	(30.0, 251809.0)	(31.0, 329218.0)	(32.0, 443138.0)	(33.0, 583213.0)	(34.0, 659228.0)	(35.0, 498059.0)	(36.0, 131898.0)	(37.0, 1533.0)
SRR19646180_1	(27.0, 85.0)	(28.0, 3513.0)	(29.0, 14586.0)	(30.0, 30253.0)	(31.0, 60580.0)	(32.0, 115710.0)	(33.0, 208255.0)	(34.0, 380774.0)	(35.0, 770732.0)	(36.0, 1462948.0)	(37.0, 680179.0)	
SRR19646180_2	(26.0, 4.0)	(27.0, 4266.0)	(28.0, 101220.0)	(29.0, 238695.0)	(30.0, 314536.0)	(31.0, 411719.0)	(32.0, 555882.0)	(33.0, 734148.0)	(34.0, 795242.0)	(35.0, 489055.0)	(36.0, 82406.0)	(37.0, 442.0)
