Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR33022245_1	(14.0, 1.0)	(15.0, 8.0)	(16.0, 39.0)	(17.0, 78.0)	(18.0, 194.0)	(19.0, 359.0)	(20.0, 706.0)	(21.0, 1331.0)	(22.0, 1994.0)	(23.0, 3029.0)	(24.0, 4180.0)	(25.0, 5769.0)	(26.0, 7425.0)	(27.0, 9585.0)	(28.0, 12473.0)	(29.0, 16115.0)	(30.0, 20603.0)	(31.0, 26843.0)	(32.0, 34826.0)	(33.0, 48142.0)	(34.0, 72011.0)	(35.0, 121888.0)	(36.0, 196684.0)	(37.0, 63362.0)												
SRR33022245_2	(11.0, 3.0)	(12.0, 21.0)	(13.0, 77.0)	(14.0, 346.0)	(15.0, 682.0)	(16.0, 1300.0)	(17.0, 2615.0)	(18.0, 3996.0)	(19.0, 5849.0)	(20.0, 8630.0)	(21.0, 13349.0)	(22.0, 17296.0)	(23.0, 16906.0)	(24.0, 20336.0)	(25.0, 24572.0)	(26.0, 30053.0)	(27.0, 36370.0)	(28.0, 44326.0)	(29.0, 53887.0)	(30.0, 63845.0)	(31.0, 74535.0)	(32.0, 82774.0)	(33.0, 78855.0)	(34.0, 51584.0)	(35.0, 14591.0)	(36.0, 844.0)	(37.0, 3.0)									
SRR33022246_1	(14.0, 2.0)	(15.0, 30.0)	(16.0, 82.0)	(17.0, 146.0)	(18.0, 270.0)	(19.0, 512.0)	(20.0, 931.0)	(21.0, 1259.0)	(22.0, 1885.0)	(23.0, 2591.0)	(24.0, 3511.0)	(25.0, 4773.0)	(26.0, 6386.0)	(27.0, 8151.0)	(28.0, 10053.0)	(29.0, 13063.0)	(30.0, 16505.0)	(31.0, 21005.0)	(32.0, 26889.0)	(33.0, 36629.0)	(34.0, 53942.0)	(35.0, 89436.0)	(36.0, 131076.0)	(37.0, 34598.0)												
SRR33022246_2	(11.0, 8.0)	(12.0, 45.0)	(13.0, 123.0)	(14.0, 500.0)	(15.0, 645.0)	(16.0, 976.0)	(17.0, 1616.0)	(18.0, 2400.0)	(19.0, 3588.0)	(20.0, 4778.0)	(21.0, 6627.0)	(22.0, 8892.0)	(23.0, 11841.0)	(24.0, 15043.0)	(25.0, 18445.0)	(26.0, 22253.0)	(27.0, 27367.0)	(28.0, 32998.0)	(29.0, 39420.0)	(30.0, 46525.0)	(31.0, 54179.0)	(32.0, 59190.0)	(33.0, 56014.0)	(34.0, 37671.0)	(35.0, 11843.0)	(36.0, 737.0)	(37.0, 1.0)									
SRR33022247_1	(13.0, 1.0)	(14.0, 9.0)	(15.0, 103.0)	(16.0, 322.0)	(17.0, 473.0)	(18.0, 581.0)	(19.0, 902.0)	(20.0, 1245.0)	(21.0, 1538.0)	(22.0, 2018.0)	(23.0, 2551.0)	(24.0, 3138.0)	(25.0, 4101.0)	(26.0, 5155.0)	(27.0, 6454.0)	(28.0, 8156.0)	(29.0, 10424.0)	(30.0, 12912.0)	(31.0, 16201.0)	(32.0, 21440.0)	(33.0, 28948.0)	(34.0, 42319.0)	(35.0, 71016.0)	(36.0, 125853.0)	(37.0, 67651.0)											
SRR33022247_2	(11.0, 20.0)	(12.0, 58.0)	(13.0, 245.0)	(14.0, 753.0)	(15.0, 690.0)	(16.0, 720.0)	(17.0, 927.0)	(18.0, 1458.0)	(19.0, 2168.0)	(20.0, 3080.0)	(21.0, 4307.0)	(22.0, 5792.0)	(23.0, 7728.0)	(24.0, 10106.0)	(25.0, 12955.0)	(26.0, 16409.0)	(27.0, 20723.0)	(28.0, 26164.0)	(29.0, 32692.0)	(30.0, 40908.0)	(31.0, 49628.0)	(32.0, 60272.0)	(33.0, 64087.0)	(34.0, 50305.0)	(35.0, 19647.0)	(36.0, 1666.0)	(37.0, 3.0)									
SRR33022248_1	(12.0, 1.0)	(13.0, 8.0)	(14.0, 29.0)	(15.0, 272.0)	(16.0, 884.0)	(17.0, 1448.0)	(18.0, 2289.0)	(19.0, 3701.0)	(20.0, 5398.0)	(21.0, 7097.0)	(22.0, 8605.0)	(23.0, 10778.0)	(24.0, 13789.0)	(25.0, 17455.0)	(26.0, 22074.0)	(27.0, 27645.0)	(28.0, 34530.0)	(29.0, 43207.0)	(30.0, 54453.0)	(31.0, 70765.0)	(32.0, 92057.0)	(33.0, 125495.0)	(34.0, 185469.0)	(35.0, 310054.0)	(36.0, 546333.0)	(37.0, 269880.0)										
SRR33022248_2	(10.0, 2.0)	(11.0, 59.0)	(12.0, 203.0)	(13.0, 1417.0)	(14.0, 3819.0)	(15.0, 3292.0)	(16.0, 3241.0)	(17.0, 4338.0)	(18.0, 6355.0)	(19.0, 9398.0)	(20.0, 13455.0)	(21.0, 18511.0)	(22.0, 25155.0)	(23.0, 33929.0)	(24.0, 43401.0)	(25.0, 55460.0)	(26.0, 69600.0)	(27.0, 88011.0)	(28.0, 111285.0)	(29.0, 140169.0)	(30.0, 174821.0)	(31.0, 214424.0)	(32.0, 254066.0)	(33.0, 271679.0)	(34.0, 213974.0)	(35.0, 85721.0)	(36.0, 7913.0)	(37.0, 18.0)								
SRR33022249_1	(11.0, 2.0)	(12.0, 7.0)	(13.0, 38.0)	(14.0, 210.0)	(15.0, 1534.0)	(16.0, 4650.0)	(17.0, 7543.0)	(18.0, 11245.0)	(19.0, 17021.0)	(20.0, 24985.0)	(21.0, 36587.0)	(22.0, 50752.0)	(23.0, 69344.0)	(24.0, 92453.0)	(25.0, 121274.0)	(26.0, 156217.0)	(27.0, 198566.0)	(28.0, 251510.0)	(29.0, 320147.0)	(30.0, 410339.0)	(31.0, 537518.0)	(32.0, 720759.0)	(33.0, 977918.0)	(34.0, 1383471.0)	(35.0, 2157737.0)	(36.0, 3446495.0)	(37.0, 1455459.0)									
SRR33022249_2	(2.0, 8.0)	(3.0, 3.0)	(4.0, 21.0)	(5.0, 20.0)	(6.0, 36.0)	(7.0, 37.0)	(8.0, 62.0)	(9.0, 125.0)	(10.0, 183.0)	(11.0, 832.0)	(12.0, 2471.0)	(13.0, 4131.0)	(14.0, 8548.0)	(15.0, 13770.0)	(16.0, 14386.0)	(17.0, 17863.0)	(18.0, 24755.0)	(19.0, 35411.0)	(20.0, 54331.0)	(21.0, 83796.0)	(22.0, 125781.0)	(23.0, 182506.0)	(24.0, 256213.0)	(25.0, 347913.0)	(26.0, 463277.0)	(27.0, 605428.0)	(28.0, 770598.0)	(29.0, 949049.0)	(30.0, 1152999.0)	(31.0, 1415175.0)	(32.0, 1746057.0)	(33.0, 1916542.0)	(34.0, 1521997.0)	(35.0, 653096.0)	(36.0, 85845.0)	(37.0, 516.0)
