Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR33022240_1	0.4907571926467573	92.38984657964873
SRR33022240_2	39.40558156222237	50.05082689810704
SRR33022241_1	0.5217326925631316	92.55376829929513
SRR33022241_2	37.920559882762575	51.365628790237764
SRR33022242_1	1.7103449083356994	91.44461649693963
SRR33022242_2	53.587538455684125	36.166930599747644
SRR33022243_1	1.044403514670745	92.30429336134269
SRR33022243_2	84.39464765515045	6.808112426616503
SRR33022244_1	1.3162182918776764	91.45513748806206
SRR33022244_2	45.719208653685385	43.61841713733503
SRR33022245_1	2.4964293710288814	92.8182877965552
SRR33022245_2	57.291108554840996	32.14507948027083
SRR33022246_1	1.118550865275756	91.64526389562785
SRR33022246_2	84.26330260391396	6.846730281955928
SRR33022247_1	0.42744013416037885	85.85041671376275
SRR33022247_2	30.262669228693156	59.96156960261676
SRR33022248_1	0.3384013516633616	84.3454984474428
SRR33022248_2	29.13547706336893	60.94180554087033
SRR33022249_1	0.5214400349580581	87.35339893964725
SRR33022249_2	28.473850632189535	61.86568560985614
SRR33022250_1	1.0695053110635573	89.34824669952894
SRR33022250_2	27.408324046663523	63.35605433898283
SRR33022251_1	1.9789192728564138	91.98333074379065
SRR33022251_2	83.49554968592547	7.648491776352316
SRR33022252_1	0.41727165871534255	81.71575745004498
SRR33022252_2	29.158888197469405	60.87118855009332
SRR33022253_1	0.21859476805579864	39.21726393585698
SRR33022253_2	30.260516569624375	60.33967348214064
SRR33022254_1	0.32899746013960773	84.0579110729265
SRR33022254_2	31.85955004427366	57.72457836625499
SRR33022255_1	0.661224137970144	85.99815356278451
SRR33022255_2	25.296189851854034	64.52277310371578
SRR33022256_1	0.4660745528074419	93.43408510760341
SRR33022256_2	41.30472193275141	48.709810032792554
SRR33022257_1	0.3191132690528799	92.33946380891989
SRR33022257_2	45.590581715213624	44.354118782845454
SRR33022258_1	0.4528808001193779	91.1996576875572
SRR33022258_2	51.42956795639112	39.020202546847734
SRR33022259_1	0.8470820101038788	91.97864759494978
SRR33022259_2	23.815548268828586	65.07212138424862
SRR33022260_1	0.8283081658848652	91.93310089792125
SRR33022260_2	43.53141255914913	46.08036939019479
SRR33022261_1	0.6286640253162409	92.97581778641262
SRR33022261_2	46.22674324886103	43.28873579991348
SRR33022262_1	1.2667629154449522	91.91912125857677
SRR33022262_2	51.034575141024305	37.5620283685832
SRR33022263_1	1.6909868313924474	92.26009444418179
SRR33022263_2	84.58335303109094	7.051140631483818
SRR33075535_1	15.845301707443522	63.15143104480293
SRR33075535_2	0.0	0.0
SRR33075536_1	17.196723185479616	60.99714068735631
SRR33075536_2	0.0	0.0
SRR33075537_1	14.373656286075287	63.561035381653994
SRR33075537_2	0.0	0.0
SRR33075538_1	10.844672828589543	64.12112516266811
SRR33075538_2	0.0	0.0
SRR33075539_1	7.916474938469998	65.09055470211926
SRR33075539_2	0.0	0.0
SRR33075540_1	9.968965231101153	65.05126545514892
SRR33075540_2	0.0	0.0
SRR33075541_1	2.4842130952502006	66.47888469712531
SRR33075541_2	0.0	0.0
SRR33075542_1	2.846420778674518	65.65126142467817
SRR33075542_2	0.0	0.0
SRR33075543_1	2.802422603806693	62.25514333291552
SRR33075543_2	0.0	0.0
SRR33075544_1	3.95633967531406	65.25055644279018
SRR33075544_2	0.0	0.0
SRR33075545_1	3.329479430402903	62.454971012099115
SRR33075545_2	0.0	0.0
SRR33075546_1	3.295609693921322	62.98230003897366
SRR33075546_2	0.0	0.0
SRR33075547_1	9.12230209349272	66.58194921792996
SRR33075547_2	0.0	0.0
SRR33075548_1	4.187208002522285	57.861539453696
SRR33075548_2	0.32065980681590184	2.1426882398463696
SRR33075549_1	5.727579646080998	49.94098965709632
SRR33075549_2	0.4368553567085819	3.1166402014219705
SRR33075550_1	5.2504218923078065	55.84218625709038
SRR33075550_2	0.192174734040576	0.6162973095537234
SRR33075551_1	5.463180698798304	53.53509730220154
SRR33075551_2	0.30144240561408703	1.9651156331586646
SRR33075552_1	5.223141155373099	55.92992660603335
SRR33075552_2	0.14829526940307275	0.4016607296836589
SRR33075553_1	3.9338940428063753	47.74706598192766
SRR33075553_2	0.7134395913136168	5.578094582424831
SRR33075554_1	4.0790805414464595	63.645904674194824
SRR33075554_2	0.0	0.0
SRR33075555_1	4.402068657288186	67.46227679996596
SRR33075555_2	0.0	0.0
SRR33075556_1	3.206753953578019	63.6915837021177
SRR33075556_2	0.0	0.0
SRR33075557_1	4.360582617596371	66.42669117366111
SRR33075557_2	0.12850084360099986	0.0
SRR33075558_1	9.716645388557076	60.51212449506442
SRR33075558_2	0.0	0.0
SRR33075559_1	3.8219638995433223	65.54469801651967
SRR33075559_2	0.0	0.0
SRR33075560_1	2.8612498634544536	69.13027934736192
SRR33075560_2	0.12860107846155375	0.0
SRR33075561_1	3.4703250437430744	54.16688260568055
SRR33075561_2	0.0	0.0
