Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR22279249_1	(1.0, 0.5085179973272643)	(2.0, 0.07495570682461443)	(3.0, 0.04112295970309326)	(4.0, 0.031214431335181897)	(5.0, 0.02464297210672255)	(6.0, 0.015093820415367564)	(7.0, 0.01796883382781853)	(8.0, 0.015607215667590948)	(9.0, 0.012475504629028291)	('>10', 0.37216021833673285)	('>50', 0.3878187735295462)	('>100', 2.5481859948855567)	('>500', 0.5674044327572868)	('>1k', 1.8273790607639218)	('>5k', 0.0)	('>10k+', 93.55545207789028)
SRR22279249_2	(1.0, 3.9557617579064153)	(2.0, 0.37457317602218276)	(3.0, 0.2257912319278454)	(4.0, 0.1605900348954753)	(5.0, 0.13040239406474016)	(6.0, 0.10165225994023053)	(7.0, 0.08732853240319804)	(8.0, 0.059553849257912836)	(9.0, 0.06514985750714775)	('>10', 0.7711710083647488)	('>50', 0.430995314241533)	('>100', 2.955616467050036)	('>500', 1.3824707351871353)	('>1k', 3.570458621112764)	('>5k', 0.0)	('>10k+', 85.72848476011863)
SRR22279250_1	(1.0, 0.9662116986238055)	(2.0, 0.25873845012140123)	(3.0, 0.1698853141819837)	(4.0, 0.1284283579693501)	(5.0, 0.09702691879552547)	(6.0, 0.08361956274378013)	(7.0, 0.07573980085371929)	(8.0, 0.06680156348588905)	(9.0, 0.06139157771062339)	('>10', 1.2592917975795017)	('>50', 0.8785934507417855)	('>100', 3.376771990857124)	('>500', 1.1343916912027163)	('>1k', 4.621127523361436)	('>5k', 3.862965060312521)	('>10k+', 82.95901524145883)
SRR22279250_2	(1.0, 4.526923205839962)	(2.0, 0.4898389294343801)	(3.0, 0.3196595942863494)	(4.0, 0.21898681551184052)	(5.0, 0.17847072639055747)	(6.0, 0.14465831529514708)	(7.0, 0.1222539176823621)	(8.0, 0.11807881996449403)	(9.0, 0.08997041561039636)	('>10', 1.3770765965779488)	('>50', 0.6743664877255067)	('>100', 3.756000232864605)	('>500', 1.7466021467058772)	('>1k', 5.322779156736108)	('>5k', 2.994485930802754)	('>10k+', 77.91984870857172)
SRR22279251_1	(1.0, 0.9183717832167605)	(2.0, 0.24268426971177023)	(3.0, 0.16215721658013738)	(4.0, 0.12069324643419589)	(5.0, 0.09214215587986999)	(6.0, 0.08915726914009955)	(7.0, 0.07767194407620026)	(8.0, 0.06956083880508494)	(9.0, 0.07183194828099723)	('>10', 1.309067501915843)	('>50', 1.2710426404048545)	('>100', 3.129913302017978)	('>500', 1.562977541322837)	('>1k', 4.24094005763427)	('>5k', 3.3454740357031385)	('>10k+', 83.29631424887596)
SRR22279251_2	(1.0, 4.627482890434541)	(2.0, 0.49639964259225733)	(3.0, 0.29453045460473937)	(4.0, 0.1995980785116057)	(5.0, 0.17519987385609082)	(6.0, 0.11874658116912823)	(7.0, 0.13354123718364255)	(8.0, 0.07734749986535566)	(9.0, 0.07358394701955814)	('>10', 1.5145704650648206)	('>50', 1.106354758980129)	('>100', 4.125437918573587)	('>500', 2.1246553591370305)	('>1k', 3.8750967654858846)	('>5k', 2.314455222481129)	('>10k+', 78.7429993050405)
SRR22279252_1	(1.0, 0.5515849096319259)	(2.0, 0.09795057263411694)	(3.0, 0.06458279514337381)	(4.0, 0.03970645923629649)	(5.0, 0.03767329716696805)	(6.0, 0.02906225781451821)	(7.0, 0.029301453352086265)	(8.0, 0.027746682357893928)	(9.0, 0.02368035821923706)	('>10', 0.5319110766669537)	('>50', 0.481919209315231)	('>100', 2.618951940832592)	('>500', 0.5620497144005281)	('>1k', 1.0499488121549605)	('>5k', 0.31454213190198727)	('>10k+', 93.53938832917133)
SRR22279252_2	(1.0, 3.9275907268674)	(2.0, 0.3817560779586096)	(3.0, 0.2312422859439134)	(4.0, 0.1688720495230441)	(5.0, 0.12228871858166615)	(6.0, 0.09364505295789201)	(7.0, 0.06948630366351886)	(8.0, 0.06506118621850991)	(9.0, 0.04736071643847412)	('>10', 0.748622233703608)	('>50', 0.4626041696566109)	('>100', 3.1874599347474573)	('>500', 1.670840628797229)	('>1k', 2.4780059703206176)	('>5k', 0.0)	('>10k+', 86.34516394462145)
SRR22279253_1	(1.0, 1.207318440394581)	(2.0, 0.2569960152454648)	(3.0, 0.16435580558174284)	(4.0, 0.12218885076665334)	(5.0, 0.09781462607806016)	(6.0, 0.07135247897666383)	(7.0, 0.06608728332698635)	(8.0, 0.06354546473748689)	(9.0, 0.0596419576178984)	('>10', 1.2508924733574291)	('>50', 0.9052959244208397)	('>100', 3.575930248866735)	('>500', 1.392598859722025)	('>1k', 5.132794134935163)	('>5k', 2.6052732750016228)	('>10k+', 83.02791416097065)
SRR22279253_2	(1.0, 5.2123019968135935)	(2.0, 0.5310840461710166)	(3.0, 0.32789675946946534)	(4.0, 0.2257460540107221)	(5.0, 0.1883928083200916)	(6.0, 0.16050195766429917)	(7.0, 0.13826721210260717)	(8.0, 0.11660024195870738)	(9.0, 0.10420465548879806)	('>10', 1.6208250923675924)	('>50', 0.8480306538406455)	('>100', 3.3822697132967567)	('>500', 1.751818744256561)	('>1k', 6.05358670518018)	('>5k', 2.9347572581779797)	('>10k+', 76.40371610088098)
SRR22279254_1	(1.0, 0.9974083778434959)	(2.0, 0.24548331427345)	(3.0, 0.14811901288994656)	(4.0, 0.11680031613460959)	(5.0, 0.09556808201077087)	(6.0, 0.07240145779322014)	(7.0, 0.06061088960297564)	(8.0, 0.06853267760579616)	(9.0, 0.05471560550785339)	('>10', 1.2718154297086395)	('>50', 0.8570269253283972)	('>100', 3.2250427983808234)	('>500', 2.098582967142542)	('>1k', 6.004761363044951)	('>5k', 1.5496767495982686)	('>10k+', 83.13345403313426)
SRR22279254_2	(1.0, 5.4360932006067975)	(2.0, 0.522583993398058)	(3.0, 0.32211199462509194)	(4.0, 0.22391131362488212)	(5.0, 0.1705966105139702)	(6.0, 0.14723010047452575)	(7.0, 0.12524240490145513)	(8.0, 0.10697174415612999)	(9.0, 0.09834945270906263)	('>10', 1.5858561071146269)	('>50', 0.8417569660837539)	('>100', 3.634318899194104)	('>500', 2.455923698591426)	('>1k', 6.773155745499514)	('>5k', 0.39007799808657745)	('>10k+', 77.16581977042003)
SRR22279255_1	(1.0, 0.5551362618233138)	(2.0, 0.08922613820428994)	(3.0, 0.055401850519003565)	(4.0, 0.036545782096746214)	(5.0, 0.028186906404405323)	(6.0, 0.025076627077022663)	(7.0, 0.016669153270191424)	(8.0, 0.016328966468758945)	(9.0, 0.016183172125287883)	('>10', 0.3680335210354509)	('>50', 0.40822416171897363)	('>100', 2.6087953839566933)	('>500', 0.8690314833165103)	('>1k', 1.4524032496587198)	('>5k', 0.40720360131467614)	('>10k+', 93.04755374100996)
SRR22279255_2	(1.0, 4.327321908564592)	(2.0, 0.38684099134321787)	(3.0, 0.22000366429783258)	(4.0, 0.17087097054808467)	(5.0, 0.12708406939227573)	(6.0, 0.0994317422472643)	(7.0, 0.08708782116671437)	(8.0, 0.07581305860495224)	(9.0, 0.0656074545619779)	('>10', 0.8089642138064327)	('>50', 0.352676516856499)	('>100', 2.9756625502443756)	('>500', 1.6329452449903847)	('>1k', 3.1320512826743347)	('>5k', 0.3444634355076292)	('>10k+', 85.19317507519342)
SRR22279256_1	(1.0, 1.1737426294838142)	(2.0, 0.3586395315526249)	(3.0, 0.2549839596282687)	(4.0, 0.21460056522173326)	(5.0, 0.1702079890600364)	(6.0, 0.15307784883343745)	(7.0, 0.13828032344620517)	(8.0, 0.12246227906674996)	(9.0, 0.12005677001365309)	('>10', 2.3549204687681096)	('>50', 1.6426711064102442)	('>100', 4.828221140634078)	('>500', 1.4851467105392642)	('>1k', 6.598311332644726)	('>5k', 4.396250030068863)	('>10k+', 75.9884273146282)
SRR22279256_2	(1.0, 3.829424624102763)	(2.0, 0.5381050857563977)	(3.0, 0.33742731535713427)	(4.0, 0.2595034008795416)	(5.0, 0.19754331920886453)	(6.0, 0.16707353786963744)	(7.0, 0.14593421588787703)	(8.0, 0.13645796810294997)	(9.0, 0.13317772848509057)	('>10', 2.1658328783519494)	('>50', 1.4891558922944255)	('>100', 4.57367454628819)	('>500', 2.3456629036243735)	('>1k', 5.751061886458515)	('>5k', 3.864486740906994)	('>10k+', 74.0654779564253)
SRR22279257_1	(1.0, 0.8520118545068912)	(2.0, 0.21793549076589816)	(3.0, 0.1535249072068332)	(4.0, 0.1211757500524081)	(5.0, 0.09885606474763957)	(6.0, 0.0806468187255172)	(7.0, 0.06991857219781078)	(8.0, 0.05886149052749268)	(9.0, 0.054751051244846534)	('>10', 1.1897255459690976)	('>50', 0.8579719914667281)	('>100', 3.2197892988823718)	('>500', 1.6216916101823802)	('>1k', 4.779947633003538)	('>5k', 2.9672028049637666)	('>10k+', 83.65598911555678)
SRR22279257_2	(1.0, 4.384062943809763)	(2.0, 0.462438865436262)	(3.0, 0.2840212626344585)	(4.0, 0.2104016126736599)	(5.0, 0.17054232130009445)	(6.0, 0.1382140215798006)	(7.0, 0.11949128542624868)	(8.0, 0.1076038563425358)	(9.0, 0.10772725526035982)	('>10', 1.501394633164717)	('>50', 0.8064941939251147)	('>100', 3.2629553180750532)	('>500', 1.8889083681047132)	('>1k', 5.948198035870704)	('>5k', 2.6112445000738536)	('>10k+', 77.99630152632265)
SRR22279258_1	(1.0, 0.7937574919792785)	(2.0, 0.20920159098137842)	(3.0, 0.13237879447231873)	(4.0, 0.09780853604324186)	(5.0, 0.07635436482302886)	(6.0, 0.0657678087187316)	(7.0, 0.05410385973656339)	(8.0, 0.046093677905435816)	(9.0, 0.046374736917054335)	('>10', 1.0252564312157253)	('>50', 0.9498857729333614)	('>100', 3.0868242814375044)	('>500', 1.8956493470296512)	('>1k', 5.377361539791163)	('>5k', 2.9371603577506473)	('>10k+', 83.20602140826492)
SRR22279258_2	(1.0, 4.845755705420167)	(2.0, 0.4836985003382002)	(3.0, 0.2874966665481029)	(4.0, 0.22309774290322315)	(5.0, 0.18527310167001523)	(6.0, 0.13996037330727656)	(7.0, 0.12754755572815063)	(8.0, 0.09518054838031659)	(9.0, 0.09569579741190294)	('>10', 1.4776873817686256)	('>50', 1.0111528040777038)	('>100', 3.7157886525166113)	('>500', 2.2624116568746513)	('>1k', 5.840066728105064)	('>5k', 3.1913119791827502)	('>10k+', 76.01787480576724)
SRR22279259_1	(1.0, 1.4952413197572203)	(2.0, 0.3556585429492635)	(3.0, 0.22038404910262227)	(4.0, 0.16493859066031347)	(5.0, 0.13434263740223273)	(6.0, 0.12207319421752014)	(7.0, 0.1076294193291876)	(8.0, 0.09504935732967217)	(9.0, 0.09015711099652728)	('>10', 1.6287297554187452)	('>50', 1.5530940740142511)	('>100', 4.914222614292193)	('>500', 2.694229944896222)	('>1k', 5.55145711286024)	('>5k', 4.264252744317229)	('>10k+', 76.60853953245656)
SRR22279259_2	(1.0, 3.764855344817946)	(2.0, 0.5213736806465841)	(3.0, 0.3072796625437196)	(4.0, 0.22706235362088353)	(5.0, 0.1972429473998099)	(6.0, 0.15282445688300234)	(7.0, 0.10871658518099758)	(8.0, 0.10933782281060328)	(9.0, 0.09365157266305935)	('>10', 1.9370965838142746)	('>50', 1.359733861799477)	('>100', 5.83140231970131)	('>500', 2.1827960663233297)	('>1k', 5.511697904565476)	('>5k', 3.0529170212898133)	('>10k+', 74.64201181593971)
SRR22279260_1	(1.0, 0.8759112602551421)	(2.0, 0.12058352125338204)	(3.0, 0.07059070906114356)	(4.0, 0.051494742172262783)	(5.0, 0.050064332667477715)	(6.0, 0.03347158241197081)	(7.0, 0.038048892827283055)	(8.0, 0.029180353897615578)	(9.0, 0.03089684530335767)	('>10', 0.6524097751324738)	('>50', 0.7104128805515088)	('>100', 2.43763235757949)	('>500', 0.5629376606081672)	('>1k', 1.3141172120460505)	('>5k', 0.4833353716668777)	('>10k+', 92.5389125025658)
SRR22279260_2	(1.0, 4.200683592702337)	(2.0, 0.3586036628496189)	(3.0, 0.20597896868905113)	(4.0, 0.14075229527085162)	(5.0, 0.11085673662084351)	(6.0, 0.08839930739571779)	(7.0, 0.06658556244774536)	(8.0, 0.06522667341819953)	(9.0, 0.05857526922094892)	('>10', 0.7872973914337066)	('>50', 0.7413812463301056)	('>100', 3.6765100296738455)	('>500', 0.9638814447994245)	('>1k', 2.1787282372133907)	('>5k', 0.39808296518168707)	('>10k+', 85.95845661675253)
