Sample	Unique Reads	Duplicate Reads
SRR22279249_1	3647.0	695298.0
SRR22279249_2	11335.0	687610.0
SRR22279250_1	4925.0	544875.0
SRR22279250_2	18374.0	531426.0
SRR22279251_1	3851.0	20765.0
SRR22279251_2	4338.0	20278.0
SRR22279252_1	3391.0	615550.0
SRR22279252_2	10249.0	608692.0
SRR22279253_1	5858.0	642358.0
SRR22279253_2	24560.0	623656.0
SRR22279254_1	5637.0	31896.0
SRR22279254_2	6668.0	30865.0
SRR22279255_1	3637.0	705789.0
SRR22279255_2	11437.0	697989.0
SRR22279256_1	4097.0	21306.0
SRR22279256_2	4507.0	20896.0
SRR22279257_1	5556.0	770559.0
SRR22279257_2	26932.0	749183.0
SRR22279258_1	4729.0	28305.0
SRR22279258_2	6199.0	26835.0
SRR22279259_1	4602.0	22487.0
SRR22279259_2	5731.0	21358.0
SRR22279260_1	4738.0	575610.0
SRR22279260_2	12728.0	567620.0
