Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR22279255_1	(1.0, 0.38073033692027075)	(2.0, 0.07950089227065261)	(3.0, 0.04863086495279282)	(4.0, 0.03777701973144486)	(5.0, 0.03171578149095184)	(6.0, 0.011840558423288686)	(7.0, 0.026641256452399547)	(8.0, 0.021425772384998577)	(9.0, 0.019029468894571102)	('>10', 0.5085801760860188)	('>50', 0.8131926374280053)	('>100', 3.044151187015982)	('>500', 0.5166148407303933)	('>1k', 1.0865121943655858)	('>5k', 1.3364325525142862)	('>10k+', 92.03722446033836)
SRR22279255_2	(1.0, 1.2892112778499802)	(2.0, 0.26613064646629814)	(3.0, 0.14546971777183246)	(4.0, 0.08964994234775721)	(5.0, 0.0740034901455543)	(6.0, 0.07780938392446851)	(7.0, 0.053282512904799094)	(8.0, 0.05751128377025934)	(9.0, 0.04059620030841836)	('>10', 0.896076546391026)	('>50', 0.6646218210215019)	('>100', 3.5799364556697952)	('>500', 0.7620245099559362)	('>1k', 2.2993236785795843)	('>5k', 0.763011223157877)	('>10k+', 88.94134130973491)
SRR22279256_1	(1.0, 12.006455930401922)	(2.0, 3.133488170688501)	(3.0, 1.901350234224304)	(4.0, 1.511632484352242)	(5.0, 1.2793764516002049)	(6.0, 1.06286659056017)	(7.0, 0.7164508128961147)	(8.0, 0.6613392119041058)	(9.0, 0.6377199543361021)	('>10', 13.439357556194151)	('>50', 9.656339802385546)	('>100', 24.74510884541196)	('>500', 1.9958272644963193)	('>1k', 0.0)	('>5k', 27.252686690548362)	('>10k+', 0.0)
SRR22279256_2	(1.0, 13.37637286934614)	(2.0, 3.393300003936543)	(3.0, 2.18478132504035)	(4.0, 1.5431248277762468)	(5.0, 1.0235011612801639)	(6.0, 0.7321969846081171)	(7.0, 0.9644530173601543)	(8.0, 0.9132779592961462)	(9.0, 0.531433295280085)	('>10', 13.947171593906232)	('>50', 11.62067472345786)	('>100', 24.13100814864386)	('>500', 0.0)	('>1k', 0.0)	('>5k', 25.638704090068103)	('>10k+', 0.0)
SRR22279257_1	(1.0, 0.528014533928606)	(2.0, 0.1293622723436604)	(3.0, 0.07924083415473222)	(4.0, 0.06236189224535024)	(5.0, 0.04058676871339943)	(6.0, 0.03633482151485283)	(7.0, 0.035175199551612836)	(8.0, 0.031954027431501775)	(9.0, 0.02783092711775961)	('>10', 0.6575056531570708)	('>50', 0.7366176404269986)	('>100', 3.1533986587039293)	('>500', 0.5472127197644678)	('>1k', 0.9483130721606978)	('>5k', 0.0)	('>10k+', 92.98609097878537)
SRR22279257_2	(1.0, 2.5399586401499774)	(2.0, 0.6913923838606393)	(3.0, 0.4340851549061673)	(4.0, 0.3252095372464132)	(5.0, 0.2673572859692185)	(6.0, 0.20563962814789047)	(7.0, 0.19030684885616178)	(8.0, 0.15667781192220226)	(9.0, 0.16118745289035774)	('>10', 3.0691327960418233)	('>50', 1.6514305225385413)	('>100', 5.409894152284133)	('>500', 2.7562925597366372)	('>1k', 9.686837646482802)	('>5k', 6.077449862455951)	('>10k+', 66.37714771651109)
SRR22279258_1	(1.0, 10.586062844342193)	(2.0, 2.548889023430405)	(3.0, 1.643760973542411)	(4.0, 1.3682872192286735)	(5.0, 1.014106677968154)	(6.0, 0.7446872918810922)	(7.0, 0.6568989525942968)	(8.0, 0.77495913301447)	(9.0, 0.7356057395410789)	('>10', 14.31252648786099)	('>50', 8.112853423745232)	('>100', 24.19628261790882)	('>500', 3.417690863958346)	('>1k', 12.38421020766483)	('>5k', 17.503178543319002)	('>10k+', 0.0)
SRR22279258_2	(1.0, 14.545619664588)	(2.0, 3.148271477871284)	(3.0, 1.9071259914027971)	(4.0, 1.6346794212023976)	(5.0, 1.0443785191015318)	(6.0, 0.9989707574014652)	(7.0, 0.868801840527941)	(8.0, 0.6538717684809591)	(9.0, 0.4904038263607193)	('>10', 14.50323908700127)	('>50', 9.09668826058001)	('>100', 19.519283162801962)	('>500', 3.8051704304655805)	('>1k', 10.776775443482473)	('>5k', 17.006720348731612)	('>10k+', 0.0)
SRR22279259_1	(1.0, 12.37402635756211)	(2.0, 3.3888294141533466)	(3.0, 2.159548156078113)	(4.0, 1.6981062423862086)	(5.0, 1.347410387980361)	(6.0, 1.1517590165749936)	(7.0, 1.2145151168370925)	(8.0, 0.6497102144782014)	(9.0, 1.0299383513603309)	('>10', 14.289933183210898)	('>50', 7.840820997452841)	('>100', 24.840341097862602)	('>500', 7.338772195356048)	('>1k', 20.676289268706853)	('>5k', 0.0)	('>10k+', 0.0)
SRR22279259_2	(1.0, 15.799771124810807)	(2.0, 3.802281368821293)	(3.0, 2.790800694008638)	(4.0, 2.229687326959282)	(5.0, 1.7165639189338846)	(6.0, 1.3511019232898964)	(7.0, 1.395400347004319)	(8.0, 0.7383070619070471)	(9.0, 0.6977001735021595)	('>10', 15.39739377607147)	('>50', 8.180442245930083)	('>100', 24.81450035069585)	('>500', 4.54797150134741)	('>1k', 16.538078186717854)	('>5k', 0.0)	('>10k+', 0.0)
SRR22279260_1	(1.0, 0.5856830729148718)	(2.0, 0.13784832548746614)	(3.0, 0.09718306946866362)	(4.0, 0.07305961250835706)	(5.0, 0.07150881884662307)	(6.0, 0.04548994741086383)	(7.0, 0.04704074107259782)	(8.0, 0.0358405646267412)	(9.0, 0.03876984154334986)	('>10', 0.8679275193504588)	('>50', 1.0724599722924866)	('>100', 3.066091379654966)	('>500', 0.7933171131803677)	('>1k', 1.1241530943502864)	('>5k', 0.0)	('>10k+', 91.9436269272919)
SRR22279260_2	(1.0, 1.7463659735193366)	(2.0, 0.34220846802263466)	(3.0, 0.19953545114310722)	(4.0, 0.15990405756546072)	(5.0, 0.1292328051444995)	(6.0, 0.11165714364484756)	(7.0, 0.07116419803290439)	(8.0, 0.0716811292534824)	(9.0, 0.08219206407190169)	('>10', 1.2671707320435326)	('>50', 1.0698753161895966)	('>100', 3.8909412972905915)	('>500', 1.0500596194007732)	('>1k', 1.1925603258734414)	('>5k', 0.886709353698126)	('>10k+', 87.72874206510576)
